Language	NbS	WID	MeanWID	SdWID	TTR	MeanTTR	SdTTR	MTLD	MeanMTLD	SdMTLD	H	MeanH	SdH
Alamblak	1	0.884452025015886	0.884452025015886	NA	0.203371124711548	0.203371124711548	NA	103.615823712928	103.615823712928	NA	9.97006624705577	9.97006624705577	NA
Amele	1	0.961532867946481	0.961532867946481	NA	0.134235020360675	0.134235020360675	NA	70.3681703178756	70.3681703178756	NA	9.12226712356788	9.12226712356788	NA
Apurinã	1	1.27900565846109	1.27900565846109	NA	0.205348938434009	0.205348938434009	NA	84.3140640690188	84.3140640690188	NA	9.70947900640014	9.70947900640014	NA
Arabic (Egyptian)	1	1.75173875604425	1.75173875604425	NA	0.353580181493012	0.353580181493012	NA	469.1908791748	469.1908791748	NA	10.883856040984	10.883856040984	NA
Arapesh (Mountain)	1	0.726039807824296	0.726039807824296	NA	0.119341111873713	0.119341111873713	NA	63.647650718355	63.647650718355	NA	8.94098081464745	8.94098081464745	NA
Barasano	1	0.810505991602562	0.810505991602562	NA	0.146893867418554	0.146893867418554	NA	58.6961922480563	58.6961922480563	NA	8.9255435904798	8.9255435904798	NA
Basque	1	1.48832235916484	1.48832235916484	NA	0.224660926332377	0.224660926332377	NA	227.098448101608	227.098448101608	NA	10.0714070505793	10.0714070505793	NA
Burmese	1	0.717549381376167	0.717549381376167	NA	0.0618081180811808	0.0618081180811808	NA	65.2014780233138	65.2014780233138	NA	8.35418480633562	8.35418480633562	NA
Chamorro	1	1.05509674845402	1.05509674845402	NA	0.130700179533214	0.130700179533214	NA	57.2805644990317	57.2805644990317	NA	8.50213502812007	8.50213502812007	NA
Daga	1	0.899738032864968	0.899738032864968	NA	0.0950226244343891	0.0950226244343891	NA	90.1081855424053	90.1081855424053	NA	9.00686926721289	9.00686926721289	NA
English	1	1	1	NA	0.0824699387430991	0.0824699387430991	NA	51.3020832549353	51.3020832549353	NA	8.16221694669018	8.16221694669018	NA
Fijian	1	0.807412835073579	0.807412835073579	NA	0.0487574036758869	0.0487574036758869	NA	31.7667932082231	31.7667932082231	NA	7.15431922012226	7.15431922012226	NA
Finnish	1	1.4457686420293	1.4457686420293	NA	0.266837961950579	0.266837961950579	NA	231.03110979852	231.03110979852	NA	10.2723014627014	10.2723014627014	NA
French	1	1.03051085219966	1.03051085219966	NA	0.139383548299108	0.139383548299108	NA	77.0667610562008	77.0667610562008	NA	8.93674487965278	8.93674487965278	NA
Georgian	1	1.43509876275233	1.43509876275233	NA	0.238767093553288	0.238767093553288	NA	98.1231279459342	98.1231279459342	NA	9.47097581946262	9.47097581946262	NA
German	1	1.06115079046625	1.06115079046625	NA	0.136465773212423	0.136465773212423	NA	116.922450754896	116.922450754896	NA	9.20194358570539	9.20194358570539	NA
Greek (Modern)	1	1.18078314059919	1.18078314059919	NA	0.181810063847837	0.181810063847837	NA	84.1536367418554	84.1536367418554	NA	9.15598433136199	9.15598433136199	NA
Greenlandic (West)	1	2.43741935483871	2.43741935483871	NA	0.542764976958525	0.542764976958525	NA	1883.97061912414	1883.97061912414	NA	11.6315701050855	11.6315701050855	NA
Guaraní	1	1.33249357585529	1.33249357585529	NA	0.174132110646445	0.174132110646445	NA	97.6415482097474	97.6415482097474	NA	9.2554988406206	9.2554988406206	NA
Hausa	1	1.07438553727402	1.07438553727402	NA	0.0981515336177128	0.0981515336177128	NA	56.085424428249	56.085424428249	NA	8.39366486446525	8.39366486446525	NA
Hindi	1	0.988229139419304	0.988229139419304	NA	0.093867942154628	0.093867942154628	NA	76.0212629562535	76.0212629562535	NA	8.60620912473743	8.60620912473743	NA
Indonesian	1	1.09679827471798	1.09679827471798	NA	0.115253815527538	0.115253815527538	NA	81.6317941327786	81.6317941327786	NA	8.91660690746435	8.91660690746435	NA
Jakaltek	1	0.852684185071739	0.852684185071739	NA	0.109172980815734	0.109172980815734	NA	50.7051959347559	50.7051959347559	NA	8.39587339271463	8.39587339271463	NA
Kewa	1	0.938333806414987	0.938333806414987	NA	0.113113823445927	0.113113823445927	NA	92.9522937620478	92.9522937620478	NA	9.05131491827806	9.05131491827806	NA
Khalkha	1	1.3489415965315	1.3489415965315	NA	0.228819178780923	0.228819178780923	NA	217.883921283034	217.883921283034	NA	10.1609748851145	10.1609748851145	NA
Khoekhoe	1	1.04786433156352	1.04786433156352	NA	0.131389175053491	0.131389175053491	NA	50.0824956908385	50.0824956908385	NA	8.52169364629361	8.52169364629361	NA
Korean	1	1.72917483980646	1.72917483980646	NA	0.348371910553158	0.348371910553158	NA	554.849922914774	554.849922914774	NA	11.0176875750116	11.0176875750116	NA
Lango	1	1.13804974610552	1.13804974610552	NA	0.112660297788106	0.112660297788106	NA	77.0917034801752	77.0917034801752	NA	8.75503004417259	8.75503004417259	NA
Malagasy	1	1.15308480488337	1.15308480488337	NA	0.139699149771092	0.139699149771092	NA	73.3091974288767	73.3091974288767	NA	8.75679478373998	8.75679478373998	NA
Mapudungun	1	0.987306802060778	0.987306802060778	NA	0.145785111625476	0.145785111625476	NA	47.8014842714881	47.8014842714881	NA	8.35517415582163	8.35517415582163	NA
Mixtec (Chalcatongo)	1	1.02476072383462	1.02476072383462	NA	0.131940946254892	0.131940946254892	NA	62.8640381524615	62.8640381524615	NA	8.72710253647459	8.72710253647459	NA
Oromo (Harar)	1	1.18310741287523	1.18310741287523	NA	0.196931060707735	0.196931060707735	NA	197.157464946027	197.157464946027	NA	9.95909928328322	9.95909928328322	NA
Persian	1	1.09226829671237	1.09226829671237	NA	0.141665289938873	0.141665289938873	NA	87.2575324675325	87.2575324675325	NA	9.0808952784129	9.0808952784129	NA
Quechua (Imbabura)	1	1.24387375946569	1.24387375946569	NA	0.249988241380932	0.249988241380932	NA	248.786996786166	248.786996786166	NA	10.4593786885877	10.4593786885877	NA
Russian	1	1.28822641141799	1.28822641141799	NA	0.22475522431682	0.22475522431682	NA	176.010593237966	176.010593237966	NA	9.86378506722877	9.86378506722877	NA
Sango	1	0.74301126626022	0.74301126626022	NA	0.0248363442249881	0.0248363442249881	NA	24.7888424325772	24.7888424325772	NA	6.69851971199917	6.69851971199917	NA
Sanumá	1	0.461302307732561	0.461302307732561	NA	0.050550332292557	0.050550332292557	NA	24.8506187745153	24.8506187745153	NA	7.39424046475949	7.39424046475949	NA
Spanish	1	1.07207718501703	1.07207718501703	NA	0.133776552618777	0.133776552618777	NA	67.5828037215596	67.5828037215596	NA	8.71699310258744	8.71699310258744	NA
Swahili	1	1.53630765655862	1.53630765655862	NA	0.233356570233531	0.233356570233531	NA	152.621990715751	152.621990715751	NA	9.9156308997916	9.9156308997916	NA
Tagalog	1	1.02045068683439	1.02045068683439	NA	0.121392190152801	0.121392190152801	NA	54.5254194993396	54.5254194993396	NA	8.42065078409304	8.42065078409304	NA
